File;Computation Value
run_46.out;1.972528
run_52.out;1.972518
run_85.out;1.986467
run_91.out;1.9776
run_90.out;1.972711
run_84.out;1.972369
run_53.out;1.990202
run_47.out;1.97567
run_79.out;1.976298
run_51.out;1.974489
run_45.out;1.989865
run_92.out;1.972615
run_86.out;1.972461
run_87.out;1.973759
run_93.out;1.98926
run_44.out;1.972227
run_50.out;1.978208
run_78.out;1.972587
run_54.out;1.972613
run_40.out;1.972589
run_68.out;1.972686
run_97.out;1.972652
run_83.out;1.972998
run_82.out;1.973171
run_96.out;1.972543
run_69.out;1.983999
run_41.out;1.977911
run_55.out;1.975705
run_43.out;1.97402
run_57.out;1.972831
run_80.out;1.972562
run_94.out;1.972617
run_95.out;1.977098
run_81.out;1.972755
run_56.out;1.972617
run_42.out;1.972462
run_2.out;1.972466
run_19.out;1.972519
run_25.out;1.973167
run_31.out;1.973004
run_30.out;1.972683
run_24.out;1.972724
run_18.out;1.975753
run_3.out;1.972817
run_1.out;1.972562
run_32.out;1.972581
run_26.out;1.972731
run_27.out;1.972364
run_33.out;1.972626
run_0.out;1.989281
run_4.out;1.973225
run_37.out;1.989784
run_23.out;1.972868
run_22.out;1.973247
run_36.out;1.973433
run_5.out;1.976973
run_7.out;1.97265
run_20.out;1.973888
run_34.out;1.972599
run_35.out;1.973201
run_21.out;1.989614
run_6.out;1.973824
run_38.out;1.98047
run_10.out;1.97234
run_11.out;1.972419
run_39.out;1.972549
run_8.out;1.972891
run_13.out;1.986143
run_12.out;1.9732
run_9.out;1.97261
run_16.out;1.972507
run_17.out;1.972577
run_15.out;1.973373
run_29.out;1.989625
run_28.out;1.973177
run_14.out;1.97251
run_67.out;1.976905
run_73.out;1.973284
run_98.out;1.972563
run_99.out;1.976707
run_72.out;1.972361
run_66.out;1.973164
run_58.out;1.972622
run_70.out;1.973096
run_64.out;1.972474
run_65.out;1.972464
run_71.out;1.975404
run_59.out;1.976903
run_75.out;1.977843
run_61.out;1.989958
run_49.out;1.97283
run_48.out;1.972552
run_60.out;1.972443
run_74.out;1.972657
run_62.out;1.972526
run_76.out;1.972759
run_89.out;1.972854
run_88.out;1.972971
run_77.out;1.989779
run_63.out;1.976698
